priority,company,website,first_dm_sent,no_reply_followup_sent,replied,reply_opener_sent,offer_page_sent,payment_page_sent,notes
1,Supercharged Studio,https://www.supercharged.studio/website-design,no,no,no,no,no,no,
2,Digital Growth Studio,https://www.digitalgrowthstudio.com/,no,no,no,no,no,no,
3,Upgrow,https://www.upgrow.io/pricing,no,no,no,no,no,no,
4,Privy,https://www.privy.io/,no,no,no,no,no,no,
5,Dynamic,https://www.dynamic.xyz/,no,no,no,no,no,no,
6,OnchainInvoice,https://www.onchaininvoice.com/,no,no,no,no,no,no,
7,Sitekick,https://www.sitekick.ai/,no,no,no,no,no,no,
8,Newsletter Compass,https://www.newslettercompass.com/,no,no,no,no,no,no,
9,Creatomate,https://creatomate.com/,no,no,no,no,no,no,
